underlying,lens,trail_period,trail_mult,time_stop,breakeven_r,trades,win_rate,ret_pct,profit_factor,sharpe,max_dd,is_ret,is_pf,oos_ret,oos_trades,oos_pf
SENSEX,delta1,14,1.0,off,off,545,38.0,61.27,1.251,1.185,13.58,52.38,1.292,9.48,157,1.15
SENSEX,delta1,14,1.0,off,1.0,546,37.4,62.72,1.259,1.202,13.66,52.76,1.297,10.56,158,1.168
SENSEX,delta1,14,1.0,48,off,546,37.9,64.07,1.262,1.225,13.58,53.88,1.3,10.79,158,1.169
SENSEX,delta1,14,1.0,48,1.0,547,37.3,65.53,1.271,1.241,13.65,54.26,1.305,11.87,159,1.187
SENSEX,delta1,14,1.5,off,off,467,37.5,29.25,1.121,0.699,15.0,36.34,1.207,-6.49,137,0.902
SENSEX,delta1,14,1.5,off,1.0,469,36.7,30.47,1.128,0.728,14.98,37.39,1.218,-6.33,138,0.904
SENSEX,delta1,14,1.5,48,off,473,37.8,28.05,1.114,0.676,15.02,35.04,1.197,-6.39,138,0.905
SENSEX,delta1,14,1.5,48,1.0,475,36.8,28.16,1.117,0.684,14.81,34.98,1.201,-6.22,139,0.907
SENSEX,delta1,14,2.0,off,off,361,37.4,37.84,1.17,1.005,14.03,36.48,1.231,0.69,108,1.011
SENSEX,delta1,14,2.0,off,1.0,361,37.4,38.55,1.174,1.02,14.03,37.2,1.236,0.69,108,1.011
SENSEX,delta1,14,2.0,48,off,385,37.1,29.96,1.124,0.801,13.47,31.58,1.182,-2.28,114,0.967
SENSEX,delta1,14,2.0,48,1.0,385,37.1,30.67,1.127,0.816,13.47,32.29,1.187,-2.28,114,0.967
SENSEX,delta1,21,0.75,off,off,555,38.2,55.84,1.252,1.151,10.91,44.3,1.271,11.11,160,1.192
SENSEX,delta1,21,0.75,off,1.0,555,37.8,54.1,1.246,1.125,10.71,43.38,1.267,10.29,160,1.179
SENSEX,delta1,21,0.75,48,off,555,38.2,59.34,1.268,1.196,10.91,46.52,1.285,12.39,160,1.215
SENSEX,delta1,21,0.75,48,1.0,555,37.8,57.61,1.262,1.17,10.71,45.6,1.281,11.57,160,1.202
SENSEX,delta1,21,1.0,off,off,550,37.8,58.79,1.24,1.144,13.71,52.03,1.291,7.3,159,1.112
SENSEX,delta1,21,1.0,off,1.0,550,37.5,56.97,1.233,1.113,13.78,51.39,1.288,6.11,159,1.094
SENSEX,delta1,21,1.0,48,off,551,37.7,62.21,1.254,1.194,13.68,54.13,1.303,8.61,160,1.131
SENSEX,delta1,21,1.0,48,1.0,551,37.4,60.38,1.246,1.163,13.76,53.5,1.299,7.42,160,1.113
SENSEX,delta1,21,1.5,off,off,463,38.4,43.95,1.189,0.985,13.06,46.02,1.271,-1.47,135,0.976
SENSEX,delta1,21,1.5,off,1.0,465,37.6,43.11,1.188,0.979,12.87,44.56,1.266,-0.86,135,0.986
SENSEX,delta1,21,1.5,48,off,470,38.7,44.69,1.189,0.993,13.06,47.7,1.278,-2.42,137,0.963
SENSEX,delta1,21,1.5,48,1.0,472,37.7,42.73,1.182,0.967,12.9,45.13,1.267,-1.81,137,0.972
SENSEX,delta1,21,2.0,off,off,359,36.8,28.04,1.126,0.772,15.65,33.57,1.213,-4.47,107,0.93
SENSEX,delta1,21,2.0,off,1.0,359,36.5,22.4,1.1,0.656,15.65,28.93,1.184,-5.47,107,0.916
SENSEX,delta1,21,2.0,48,off,381,36.5,16.49,1.068,0.51,15.76,24.96,1.146,-7.41,112,0.894
SENSEX,delta1,21,2.0,48,1.0,381,36.2,13.41,1.056,0.443,16.12,21.39,1.125,-6.93,112,0.9
NIFTY 50,options,10,0.75,off,off,559,30.4,19.33,1.018,0.435,59.05,48.35,1.073,-34.1,164,0.917
NIFTY 50,options,10,0.75,off,1.0,559,30.2,22.26,1.021,0.445,56.89,55.22,1.084,-38.04,164,0.907
