strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
Adaptive Edge (Vol+IB),NETWEB,15min,Intraday,110,38.1818,1.0553,0.061,0.3839,18.4759,3.3362,127883.0208,121177.2508,3.0448,-1.782,65.5562
Flow Navigator (Vol),SIEMENS,1h,Aggressive,16,25.0,1.2046,0.2685,1.1321,11.7209,3.3178,25293.801,20997.8566,6.3235,-1.7498,28.0896
SuperTrend (Triple),MCX,15min,Scalping,114,38.5965,1.0808,0.0318,0.5645,8.383,3.2245,48493.4114,44869.7584,1.1021,-0.641,23.8886
SuperTrend (Triple),DATAPATTNS,15min,Intraday,82,37.8049,1.0623,0.0667,0.4366,21.1464,3.1534,93303.8298,87831.3112,3.0098,-1.7222,63.7584
Flow Navigator (Vol),THANGAMAYL,1h,Scalping,18,38.8889,1.1773,0.2063,1.1594,14.0571,3.0865,24649.5792,20936.7934,3.5214,-1.9033,46.6111
Flow Navigator (Vol),TVSMOTOR,1h,Scalping,22,40.9091,1.2264,0.1466,1.5055,4.6125,3.0174,17464.0438,14239.832,1.9404,-1.0954,11.2746
SuperTrend (Triple),TVSMOTOR,1h,Intraday,26,38.4615,1.1199,0.1422,0.8174,12.6868,2.7916,34529.0817,30832.5149,3.4529,-1.927,11.2746
Flow Navigator (Vol),ENRIN,1h,Intraday,15,40.0,1.1497,0.2354,1.012,9.9133,2.6177,27112.6345,23581.6732,4.5188,-2.6202,31.7893
Flow Navigator (Vol),SHAILY,1h,Intraday,13,38.4615,1.1499,0.3237,0.9755,8.1445,2.6123,32278.7587,28070.1669,6.4558,-3.5088,62.6742
SuperTrend (Triple),THANGAMAYL,15min,Scalping,122,35.2459,1.0522,0.0291,0.3567,9.4238,2.5754,71596.8769,68042.7514,1.665,-0.8613,46.6111
Flow Navigator (Vol),BSE,1h,Scalping,21,42.8571,1.1904,0.1299,1.2577,3.7993,2.4896,17050.0171,14322.3496,1.8944,-1.1935,12.3376
Flow Navigator (Vol),INDIGO,1h,Aggressive,20,30.0,1.133,0.1709,0.7917,10.2593,2.3616,29108.912,25691.7942,4.8515,-1.8351,7.2569
SuperTrend (Triple),SIEMENS,1h,Scalping,39,33.3333,1.0959,0.0752,0.6421,9.1325,2.309,33507.6982,30574.6346,2.5775,-1.1759,28.0896
SuperTrend (Triple),TITAN,15min,Intraday,76,36.8421,1.0724,0.0385,0.4597,12.1138,2.2951,43287.4455,40364.967,1.546,-0.8409,18.3761
SuperTrend (Triple),NETWEB,1h,Intraday,21,38.0952,1.1047,0.2093,0.7109,14.2084,2.2796,46360.239,41964.982,5.795,-3.2281,65.5562
Flow Navigator (Vol),MCX,1h,Scalping,21,38.0952,1.1423,0.1146,0.9593,5.8102,2.0697,19316.4529,16910.0215,2.4146,-1.3008,23.8886
ORB + VWAP,LTM,5min,Scalping,107,40.1869,1.0801,0.0205,0.545,6.3655,2.0238,29576.266,27384.1616,0.6878,-0.4279,-4.9047
ATM Premium (Open),ACUTAAS,5min,Aggressive,100,30.0,1.0468,0.0344,0.3129,9.2641,1.9688,76963.7394,73521.2033,2.5655,-1.0503,51.2271
SuperTrend (Triple),DATAPATTNS,1h,Intraday,22,40.9091,1.0905,0.2036,0.6413,22.0271,1.8653,53979.9763,49501.2158,5.9978,-3.8078,63.7584
Flow Navigator (Vol),GVT&D,1h,Aggressive,16,31.25,1.117,0.1997,0.7076,14.3763,1.7529,30511.9917,27316.3043,6.1024,-2.4833,19.2918
Flow Navigator (Vol),ACUTAAS,1h,Intraday,14,42.8571,1.1099,0.2067,0.7713,15.2826,1.742,29225.3389,26331.896,4.8709,-3.2915,51.2271
ATM Premium (Open),SHAILY,5min,Scalping,116,32.7586,1.0447,0.021,0.2937,10.2269,1.7172,56963.9139,54526.4467,1.4991,-0.6991,62.6742
SuperTrend (Triple),NETWEB,5min,Scalping,325,38.7692,1.0235,0.0074,0.1591,13.6368,1.5351,104520.7471,102122.4507,0.8295,-0.5132,65.5562
Flow Navigator (Vol),HAL,1h,Scalping,18,38.8889,1.167,0.0909,1.1093,4.4302,1.5034,11429.0039,9793.1571,1.6327,-0.8903,17.1634
