symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,net_return,pnl_usd,max_dd,oos_sharpe,p_loss,dsr,beats_hold,ret%,oos_keep,excess_vs_hold,mc_ret_p05,mc_dd_p05,P_loss%
BTCUSD,1h,ma_crossover,Scale_Out_2R,486,0.3601,1.0158,0.1067,0.000161,-0.056531,-28.27,-0.4769,0.4173,0.547,0.0018,False,-5.7,1.68,-0.7771,-60.5,-68.9,55.0
BTCUSD,1h,mean_reversion,Scalping,525,0.3124,0.8082,-1.4046,-0.001119,-0.467071,-233.54,-0.5096,-8.8143,0.9813,0.0,False,-46.7,1.06,-1.1876,-66.5,-68.6,98.0
BTCUSD,1h,mean_reversion,Intraday,392,0.3418,0.8973,-0.7279,-0.001097,-0.417603,-208.8,-0.5282,-4.488,0.8777,0.0,False,-41.8,1.01,-1.1382,-72.7,-76.7,88.0
BTCUSD,1h,mean_reversion,Aggressive,398,0.2337,0.8822,-0.7633,-0.001139,-0.429832,-214.92,-0.5403,-4.8613,0.8833,0.0,False,-43.0,1.17,-1.1504,-73.6,-77.1,88.0
BTCUSD,1h,mean_reversion,Intraday_Trailing,392,0.3418,0.8973,-0.7279,-0.001097,-0.417603,-208.8,-0.5282,-4.488,0.8777,0.0,False,-41.8,1.01,-1.1382,-72.7,-76.7,88.0
BTCUSD,1h,mean_reversion,Scale_Out_2R,377,0.313,0.9202,-0.5437,-0.000892,-0.369666,-184.83,-0.5078,-3.472,0.8253,0.0001,False,-37.0,1.19,-1.0902,-71.6,-75.9,83.0
BTCUSD,1h,bb_rsi_reversion,Scalping,425,0.2847,0.6226,-3.2991,-0.00239,-0.648226,-324.11,-0.6707,-20.686,1.0,0.0,False,-64.8,1.04,-1.3688,-76.0,-76.6,100.0
BTCUSD,1h,bb_rsi_reversion,Intraday,330,0.3333,0.8208,-1.3613,-0.002021,-0.531364,-265.68,-0.6231,-8.2908,0.9657,0.0,False,-53.1,0.98,-1.2519,-77.0,-79.2,97.0
BTCUSD,1h,bb_rsi_reversion,Aggressive,355,0.2366,0.797,-1.4338,-0.002043,-0.557183,-278.59,-0.659,-8.7022,0.9713,0.0,False,-55.7,1.03,-1.2777,-77.7,-79.6,97.0
BTCUSD,1h,bb_rsi_reversion,Intraday_Trailing,330,0.3333,0.8208,-1.3613,-0.002021,-0.531364,-265.68,-0.6231,-8.2908,0.9657,0.0,False,-53.1,0.98,-1.2519,-77.0,-79.2,97.0
